trial_id,use_truth,target_source,success,failure_type,duration_s,target_world_x,target_world_y,target_world_z,truth_before_z,truth_after_z,json_path
step7_probe_z_0030,True,gazebo_truth,False,probe_no_contact,61.539,0.12,2.7791820573361525e-18,0.7745093968043647,0.7745093968043647,0.7749855056099985,/home/ubuntu/ros2_ws/day7_baseline/results/step7_probe_z_0030.json
step7_probe_z_0025,True,gazebo_truth,False,probe_no_contact,60.374,0.12,5.395311972772814e-18,0.7745190801483817,0.7745190801483817,0.774985505573364,/home/ubuntu/ros2_ws/day7_baseline/results/step7_probe_z_0025.json
step7_probe_z_0020,True,gazebo_truth,False,probe_no_contact,59.492,0.12,-8.215332686121585e-18,0.7744525038980257,0.7744525038980257,0.7749845045011514,/home/ubuntu/ros2_ws/day7_baseline/results/step7_probe_z_0020.json
step7_lowz_grasp_001,True,gazebo_truth,False,grasp_no_lift,2031.160,0.12,1.3855440747919593e-17,0.774621296143662,0.774621296143662,0.7748599360631522,/home/ubuntu/ros2_ws/day7_baseline/results/step7_lowz_grasp_001.json
step7_close_dir_0,True,gazebo_truth,False,unknown,849.037,0.12,-4.4049034219956404e-18,0.7744524809465411,0.7744524809465411,,/home/ubuntu/ros2_ws/day7_baseline/results/step7_close_dir_0.json
step7_close_dir_1,True,,False,unknown,4.049,,,,,,/home/ubuntu/ros2_ws/day7_baseline/results/step7_close_dir_1.json
step7_close_dir_2,True,,False,unknown,4.236,,,,,,/home/ubuntu/ros2_ws/day7_baseline/results/step7_close_dir_2.json
step7_close_dir_3,True,,False,unknown,1.610,,,,,,/home/ubuntu/ros2_ws/day7_baseline/results/step7_close_dir_3.json
step7_close_dir_4,True,,False,unknown,15.562,,,,,,/home/ubuntu/ros2_ws/day7_baseline/results/step7_close_dir_4.json
step7_contact_patch_close04,True,gazebo_truth,False,grasp_no_lift,1136.290,0.12,1.111026427864621e-17,0.7749321722402933,0.7749321722402933,0.7749188411276791,/home/ubuntu/ros2_ws/day7_baseline/results/step7_contact_patch_close04.json
scheme_a_fixed_smoke,True,gazebo_truth,False,grasp_no_lift,136.447,0.12,-9.532482614051617e-18,0.7748792744718488,0.7748792744718488,0.7673796461618713,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_fixed_smoke.json
scheme_a_fixed_close07,True,gazebo_truth,False,grasp_no_lift,129.301,0.12000471124244777,9.696268644830682e-07,0.774837384708035,0.774837384708035,0.774179006892694,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_fixed_close07.json
scheme_a_highfriction_close07,True,gazebo_truth,False,grasp_no_lift,134.141,0.12,1.391403834158852e-17,0.7749916695260781,0.7749916695260781,0.7742040330829193,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_highfriction_close07.json
scheme_a_bigpad_close07,True,gazebo_truth,False,grasp_no_lift,123.060,0.12,-1.2951673514221757e-18,0.7749936906292919,0.7749936906292919,0.7741591400986874,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_bigpad_close07.json
scheme_a_clean_close07_snapshot,True,gazebo_truth,False,grasp_no_lift,92.516,0.12,2.1996368110152317e-18,0.7744842922850685,0.7744842922850685,0.7745929592185399,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_clean_close07_snapshot.json
scheme_a_clean_stepclose_075_050_snapshot,True,gazebo_truth,False,grasp_no_lift,176.632,0.1200000885936214,3.742673007594814e-08,0.7744187261356542,0.7744187261356542,0.7737955790381706,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_clean_stepclose_075_050_snapshot.json
scheme_a_close_window_probe_075_050,True,gazebo_truth,False,runtime_error,169.809,0.12000000569626519,3.5396027643361932e-09,0.7744469891589393,0.7744469891589393,,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_close_window_probe_075_050.json
scheme_a_stepclose_to055_lift_snapshot,True,gazebo_truth,False,ik_fail,48.869,0.1815688950411036,-0.007963663897228074,0.7741099084901248,0.7741099084901248,,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_stepclose_to055_lift_snapshot.json
scheme_a_stepclose_to055_lift_snapshot_retry,True,gazebo_truth,False,grasp_no_lift,177.481,0.12,1.874194660525765e-17,0.7748369546794055,0.7748369546794055,0.7741623067959649,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_stepclose_to055_lift_snapshot_retry.json
scheme_a_tippad_close_window_probe_075_050,True,gazebo_truth,False,probe_stop_after_close,118.763,0.12,5.7395541939616496e-18,0.774643228441102,0.774643228441102,0.7751328955092222,/home/ubuntu/ros2_ws/day7_baseline/results/scheme_a_tippad_close_window_probe_075_050.json
