sample_id,x_req,y_req,z_req,yaw_req,detected,depth_valid,tf_found,note,bbox_x,bbox_y,bbox_w,bbox_h,edge_flag,area_px,angle_deg,depth_median_m,x_est_base,y_est_base,z_est_base,x_est_world,y_est_world,z_est_world,x_gt_world,y_gt_world,z_gt_world,qx_gt,qy_gt,qz_gt,qw_gt,yaw_gt,ex,ey,ez,enorm,yaw_err_req_gt,perception_json,truth_json
s0000,0.12973825590054777,-0.04883928071453813,0.775,0.3256757749427778,1,1,1,,104,75,107,102,0,8216.5,78.11134338378906,0.3664509654045105,-0.26154796637461203,0.09199713391877995,0.04173449733562895,-0.46154796637461204,0.09199713391877995,0.791734497335629,0.1297382559005478,-0.048839280714538136,0.7724894550003911,-1.31719681854041e-16,-2.522872127203141e-16,0.16211920125005633,0.9867711814732145,0.32567577494277833,-0.5912862222751598,0.14083641463331809,0.019245042335237827,0.6081321106418265,-5.551115123125783e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0000_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0000_truth.json
s0001,0.1708771682012153,-0.005257811488484171,0.775,0.11442945117104236,1,1,1,,72,151,102,80,0,7029.5,86.18592071533203,0.38865959644317627,-0.30348014930818423,0.12424949517312989,0.06364309690580355,-0.5034801493081842,0.12424949517312989,0.8136430969058035,0.17087716820121526,-0.005257811488484169,0.7732693226213675,2.638020825619095e-17,-1.4778803282060068e-16,0.057183515056965804,0.998363684037901,0.1144294511710425,-0.6743573175093994,0.12950730666161406,0.040373774284436004,0.6878662484867163,-1.3877787807814457e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0001_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0001_truth.json
s0002,0.08574275636855616,-0.04452860007580149,0.775,-0.14803429663312068,1,1,1,,147,85,95,85,0,4912.0,5.5275397300720215,0.3370959460735321,-0.2403328161667871,0.06211629385998823,0.06270654519235352,-0.4403328161667871,0.06211629385998823,0.8127065451923535,0.08574275636855616,-0.04452860007580148,0.7730815648305752,7.264488598212875e-16,4.977908128498337e-17,-0.07394958253099791,0.9972619812484035,-0.14803429663312062,-0.5260755725353432,0.10664489393578971,0.039624980361778306,0.5382367327576559,-5.551115123125783e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0002_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0002_truth.json
s0003,0.14309072951943808,-0.046019717062667026,0.775,0.32977416594764153,1,1,1,,92,82,108,99,0,8324.5,78.2317123413086,0.37425708770751953,-0.26949686828531544,0.10273365048486778,0.03952520554087924,-0.46949686828531545,0.10273365048486778,0.7895252055408792,0.1430907295194381,-0.04601971706266702,0.7730440854525912,1.5892443249741233e-16,1.7054597575040666e-16,0.16414094651633396,0.986436895942524,0.32977416594764186,-0.6125875978047536,0.1487533675475348,0.01648112008828806,0.6306050718637578,-3.3306690738754696e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0003_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0003_truth.json
s0004,0.0684426581161397,-0.049074139403025435,0.775,-0.2877955011155589,1,1,1,,163,70,89,88,0,4138.5,13.392498016357422,0.3299044370651245,-0.2316879783042306,0.05394885688258522,0.06281270536815417,-0.4316879783042306,0.05394885688258522,0.8128127053681542,0.0684426581161397,-0.049074139403025435,0.773300147292332,1.7630845765956113e-16,4.6681290984630307e-17,-0.14340165982275263,0.9896645714382624,-0.2877955011155589,-0.5001306364203704,0.10302299628561065,0.03951255807582221,0.5121578208868872,0.0,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0004_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0004_truth.json
s0005,0.1523870323932123,-0.0213576040367945,0.775,-0.019822415334026677,1,1,1,,88,130,102,76,0,7110.5,1.0609116554260254,0.37761014699935913,-0.28615831052090135,0.10919198560840983,0.05791059559290368,-0.48615831052090136,0.10919198560840983,0.8079105955929037,0.15238703239321233,-0.021357604036794504,0.7732291142670873,1.2437623995423921e-16,1.5798077244211483e-16,-0.009911045401457017,0.9999508843833532,-0.01982241533402753,-0.6385453429141137,0.13054958964520433,0.03468148132581639,0.6526761489902838,8.534839501805891e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0005_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0005_truth.json
s0006,0.0991233920206013,0.02198830698871014,0.775,-0.06727396849087303,1,1,1,,136,193,74,87,0,4582.0,90.0,0.34502893686294556,-0.28436780829499375,0.07732400037884628,0.11294125892446177,-0.48436780829499376,0.07732400037884628,0.8629412589244618,0.0991233920206013,0.02198830698871013,0.773023149314376,8.578041129501543e-16,-1.7722830852399971e-16,-0.03363064152841347,0.9994343299839101,-0.06727396849087086,-0.5834912003155951,0.05533569339013615,0.08991810961008584,0.5929665135946147,-2.1649348980190553e-15,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0006_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0006_truth.json
s0007,0.08499212449452187,-0.011175354161601286,0.775,-0.1369971316440148,1,1,1,,148,138,50,87,0,3030.0,6.581944942474365,0.34155023097991943,-0.262174109233164,0.07727806289736673,0.08670371434339666,-0.462174109233164,0.07727806289736673,0.8367037143433966,0.08499212449452186,-0.011175354161601299,0.7735233557240255,-2.014399694096916e-17,1.569555376579896e-16,-0.06844501189797024,0.9976548904036339,-0.13699713164401714,-0.5471662337276858,0.08845341705896803,0.0631803586193711,0.5578589893838949,2.3314683517128287e-15,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0007_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0007_truth.json
s0008,0.07329589753056567,0.05174263909448855,0.775,0.12610289625802684,1,1,1,,161,245,91,84,0,4948.5,85.2363510131836,0.33102333545684814,-0.28926875312184147,0.05350616069153622,0.14487355171682176,-0.4892687531218415,0.05350616069153622,0.8948735517168218,0.07329589753056569,0.051742639094488556,0.7731734389483806,3.612451440619133e-16,-5.074683779183111e-16,0.06300967975014514,0.9980129158772366,0.1261028962580292,-0.5625646506524071,0.0017635215970476653,0.12170011276844117,0.5755805882931941,-2.3592239273284576e-15,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0008_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0008_truth.json
s0009,0.1397749336292188,0.061191450676105666,0.775,-0.0737499471931532,1,1,1,,99,246,104,90,0,8043.0,2.6025619506835938,0.37197378277778625,-0.32821981291354574,0.09955660143885234,0.12927238481289985,-0.5282198129135458,0.09955660143885234,0.8792723848128998,0.13977493362921878,0.061191450676105645,0.7727641557441476,3.3502667005654235e-16,4.179724738245913e-17,-0.03686661728977457,0.9993201951975199,-0.07374994719315328,-0.6679947465427646,0.03836515076274669,0.10650822906875224,0.6775196447787639,8.326672684688674e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0009_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0009_truth.json
